method;sudoku;visited;time;solve_calls;infeasible_count;feasible_values_calls
astar;7--5----1--5-----42--9--8-3--3----72--6---3--9----3-1-3----5-6-----2--8-18---6---;57;12,80451;3002;3;0
astar;---94-8-----------93--2---6---6-9---46--5--1-2---1-5---1----4-35-3---9---4---5-8-;58;13,169612999999998;3026;1;0
astar;--2-----64------5-6-98--------9-6--------317-------563-6-----84-9-2-4---7-5--1-3-;57;13,105013000000003;2999;0;0
astar;5---19--7-93-----2---46-9-------------4-2---8---5---9-----4--76--7-92-1-68---5---;57;13,064752999999996;3000;1;0
astar;-6-4----2------3------5-8-4-7-61----8---2--79-4-9-82-----3-9--8-9-------1----7--5;58;13,172762999999996;3026;1;0
astar;------5-22-8---9--5---9-4------8----9-3----6-46---58-9-2-1-3-7-----7------7--2--8;57;13,086538000000004;3001;2;0
astar;6-743------1--942-4--8----------825--5---4-18------7------------8-6-5------3--567;57;12,974193;3001;2;0
astar;914----7-------8-4--8---3--3--72--5---9----6----5--4-----67----5----4-9647--5----;375;107,31076900000001;11468;0;0
astar;-9----72----7---65-2------9-78----------68---94------2--312---7--9--4---7--3-5-1-;57;13,034021999999993;3004;5;0
astar;----------7----23--368--------25-6---1-6--3-4--8--4--5--359-4-----4-------9---716;57;13,074101999999982;3001;2;0
astar;--3--82--17---6-9---5--------7-2--3----3----1-8--1-629-9-68----4------7-----7---8;57;13,349412000000001;3001;2;0
astar;-3-4--1----7--6--3--8---4---29-4------6-2----4--691---78---9----------29-6--7---4;57;13,495965000000012;3004;5;0
astar;-3--2------5-9-3----87-5-6--5--71-----79---4--893------2-----8--------1-5----7-26;57;13,427841;3001;2;0
astar;-9-624------------3-6-1--5-42-----3-----4-6--6---9--2--3----2---4---396----2-78--;57;13,419977000000017;3006;7;0
astar;---------98----7--6-1--8----641----8---2-6-97---3------4---29---9--5-4-1---6---53;57;13,397492;3000;1;0
astar;9-1--37-8--61-7-3-----8--6--------9--1-8----66-75------4------1---4--9---8-72----;57;13,550446999999963;3001;2;0
astar;7--6----3-56-4-----------482-3-684----19-----5-8---7------2--87----3-9--61-------;57;13,54331400000001;3000;1;0
